D501i,DoCoMo/1.0/D501i,5,96,72,2,
F501i,DoCoMo/1.0/F501i,5,112,84,2,
N501i,DoCoMo/1.0/N501i,5,118,128,2,
P501i,DoCoMo/1.0/P501i,5,96,120,2,
D502i,DoCoMo/1.0/D502i/c10,10,96,90,256,
D502i,DoCoMo/1.0/D502i,5,96,90,256,
F502i,DoCoMo/1.0/F502i/c10,10,96,91,256,
F502i,DoCoMo/1.0/F502i,5,96,91,256,
N502i,DoCoMo/1.0/N502i/c08,8,118,128,2,
N502i,DoCoMo/1.0/N502i,5,118,128,2,
P502i,DoCoMo/1.0/P502i/c10,10,96,117,2,
P502i,DoCoMo/1.0/P502i,5,96,117,2,
NM502i,DoCoMo/1.0/NM502i/c10,10,111,106,2,
NM502i,DoCoMo/1.0/NM502i,5,111,106,2,
SO502i,DoCoMo/1.0/SO502i,5,120,120,2,
F502it,DoCoMo/1.0/F502it/c10,10,96,91,256,
F502it,DoCoMo/1.0/F502it,5,96,91,256,
N502it,DoCoMo/1.0/N502it/c10,10,118,128,256,
N502it,DoCoMo/1.0/N502it,5,118,128,256,
SO502iWM,DoCoMo/1.0/SO502iWM/c10,10,120,113,256,
SH821i,DoCoMo/1.0/SH821i/c10,10,96,78,256,
SH821i,DoCoMo/1.0/SH821i,5,96,78,256,
N821i,DoCoMo/1.0/N821i/c08,8,118,128,2,
N821i,DoCoMo/1.0/N821i,5,118,128,2,
P821i,DoCoMo/1.0/P821i/c08,8,118,128,2,
P821i,DoCoMo/1.0/P821i,5,118,128,2,
D209i,DoCoMo/1.0/D209i/c10,10,96,90,256,
D209i,DoCoMo/1.0/D209i,5,96,90,256,
ER209i,DoCoMo/1.0/ER209i/c15,15,120,72,2,
ER209i,DoCoMo/1.0/ER209i,5,120,72,2,
F209i,DoCoMo/1.0/F209i/c10,10,96,91,256,
F209i,DoCoMo/1.0/F209i,5,96,91,256,
KO209i,DoCoMo/1.0/KO209i,5,96,96,256,
N209i,DoCoMo/1.0/N209i/c08,8,108,82,2,
N209i,DoCoMo/1.0/N209i,5,108,82,2,
P209i,DoCoMo/1.0/P209i/c10,10,96,87,2,
P209i,DoCoMo/1.0/P209i,5,96,87,2,
P209iS,DoCoMo/1.0/P209is/c10,10,96,87,256,
P209iS,DoCoMo/1.0/P209is,5,96,87,256,
R209i,DoCoMo/1.0/R209i,5,96,72,2,
P651ps,DoCoMo/1.0/P651ps/c10,10,96,87,2,
P651ps,DoCoMo/1.0/P651ps,5,96,87,2,
R691i,DoCoMo/1.0/ R691i/c10,10,96,72,2,
R691i,DoCoMo/1.0/R691i,5,96,72,2,
F210i,DoCoMo/1.0/F210i/c10,10,96,113,256,
N210i,DoCoMo/1.0/N210i,5,118,113,256,
N210i,DoCoMo/1.0/N210i/c10,10,118,113,256,
P210i,DoCoMo/1.0/P210i/c10,10,96,91,256,
P210i,DoCoMo/1.0/P210i,5,96,91,256,
KO210i,DoCoMo/1.0/KO210i/c10,10,96,96,256,
KO210i,DoCoMo/1.0/KO210i,5,96,96,256,
F671i,DoCoMo/1.0/F671i/c10,10,120,126,256,
D210i,DoCoMo/1.0/D210i/c10,10,96,91,256,
SO210i,DoCoMo/1.0/SO210i/c10,10,120,113,256,
F503i,DoCoMo/1.0/F503i/c10,10,120,130,256,
F503iS,DoCoMo/1.0/F503iS/c10,10,120,130,4096,
P503i,DoCoMo/1.0/P503i/c10,10,120,130,256,
P503iS,DoCoMo/1.0/P503iS/c10,10,120,130,256,
N503i,DoCoMo/1.0/N503i/c10,10,118,128,4096,
N503iS,DoCoMo/1.0/N503iS/c10,10,118,128,4096,
SO503i,DoCoMo/1.0/SO503i/c10,10,120,113,65536,
SO503iS,DoCoMo/1.0/SO503iS/c10,10,120,113,65536,
D503i,DoCoMo/1.0/D503i/c10,10,132,126,4096,
D503iS,DoCoMo/1.0/D503iS/c10,10,132,126,4096,
F211i,DoCoMo/1.0/F211i/c10,10,96,113,256,
D211i,DoCoMo/1.0/D211i/c10,10,100,91,4096,
N211i,DoCoMo/1.0/N211i/c10,10,118,128,4096,
N211iS,DoCoMo/1.0/N211iS/c10,10,118,128,4096,
P211i,DoCoMo/1.0/P211i/c10,10,120,130,65536,
P211iS,DoCoMo/1.0/P211iS/c10,10,120,130,65536,
SO211i,DoCoMo/1.0/SO211i/c10,10,120,112,4096,
R211i,DoCoMo/1.0/R211i/c10,10,96,98,4096,
SH251i,DoCoMo/1.0/SH251i/c10,10,120,130,65536,
SH251iS,DoCoMo/1.0/SH251iS/c10,10,176,187,65536,
R692i,DoCoMo/1.0/R692i/c10,10,96,98,4096,
N2001,DoCoMo/2.0　N2001(c10),10,118,128,4096,
N2002,DoCoMo/2.0　N2002(c100),100,118,128,65536,
P2002,DoCoMo/2.0　P2002(c100）,100,118,128,65536,
D2101V,DoCoMo/2.0　D2101V(c100),100,120,130,262144,
P2101V,DoCoMo/2.0　P2101V(c100),100,163,182,262144,
SH2101V,DoCoMo/2.0　MST_v_SH2101V(c100）,100,800,600,65536,
T2101V,DoCoMo/2.0　T2101V(c100）,100,176,144,262144,
D504i,DoCoMo/1.0/D504i/c10,10,132,144,262144,
F504i,DoCoMo/1.0/F504i/c10,10,132,136,65536,
F504iS,DoCoMo/1.0/F504iS/c10,10,132,136,65536,
N504i,DoCoMo/1.0/N504i/c10,10,160,180,65536,
N504iS,DoCoMo/1.0/N504iS/c10,10,160,180,65536,
SO504i,DoCoMo/1.0/SO504i/c10,10,120,112,65536,
P504i,DoCoMo/1.0/P504i/c10,10,132,144,65536,
P504iS,DoCoMo/1.0/P504iS/c10,10,132,144,65536,
D251i,DoCoMo/1.0/D251i/c10,10,132,144,262144,
D251iS,DoCoMo/1.0/D251iS/c10,10,132,144,262144,
